名称,数值类型,描述,类别,时间戳精度
"[V4_DPU2016_HW_DI060116_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2016_HW_DI070401_PV]",BOOL,9#炉1#启燃运行,"base,scan",0
"[V4_DPU2016_HW_DI070402_PV]",BOOL,9#炉1#启燃故障,"base,scan",0
"[V4_DPU2016_HW_DI070403_PV]",BOOL,9#炉1#启燃回油压力高报警,"base,scan",0
"[V4_DPU2016_HW_DI070404_PV]",BOOL,9#炉1#辅燃燃油阀已开,"base,scan",0
"[V4_DPU2016_HW_DI070405_PV]",BOOL,9#炉1#辅燃燃油阀已关,"base,scan",0
"[V4_DPU2016_HW_DI070406_PV]",BOOL,9#炉1#辅燃雾化阀已开,"base,scan",0
"[V4_DPU2016_HW_DI070407_PV]",BOOL,9#炉1#辅燃雾化阀已关,"base,scan",0
"[V4_DPU2016_HW_DI070408_PV]",BOOL,9#炉1#辅燃吹扫阀已开,"base,scan",0
"[V4_DPU2016_HW_DI070409_PV]",BOOL,9#炉1#辅燃吹扫阀已关,"base,scan",0
"[V4_DPU2016_HW_DI070410_PV]",BOOL,9#炉1#辅燃点火枪到位,"base,scan",0
"[V4_DPU2016_HW_DI070411_PV]",BOOL,9#炉1#辅燃点火枪原位,"base,scan",0
"[V4_DPU2016_HW_DI070412_PV]",BOOL,9#炉1#辅燃点火器发火,"base,scan",0
"[V4_DPU2016_HW_DI070413_PV]",BOOL,9#炉1#辅燃火检有火,"base,scan",0
"[V4_DPU2016_HW_DI070414_PV]",BOOL,9#炉1#辅燃远方,"base,scan",0
"[V4_DPU2016_HW_DI070415_PV]",BOOL,9#炉1#辅燃电源正常,"base,scan",0
"[V4_DPU2016_HW_DI070416_PV]",BOOL,9#炉BL4机柜失电报警,"base,scan",0
"[V4_DPU2016_HW_DI070501_PV]",BOOL,9#炉1#辅燃助燃空气压力低,"base,scan",0
"[V4_DPU2016_HW_DI070502_PV]",BOOL,9#炉1#辅燃风机运行,"base,scan",0
"[V4_DPU2016_HW_DI070503_PV]",BOOL,9#炉1#辅燃风机故障,"base,scan",0
"[V4_DPU2016_HW_DI070504_PV]",BOOL,9#炉1#辅燃冷却风扇故障,"base,scan",0
"[V4_DPU2016_HW_DI070505_PV]",BOOL,9#炉1#辅燃油枪到位,"base,scan",0
"[V4_DPU2016_HW_DI070506_PV]",BOOL,9#炉1#辅燃油枪原位,"base,scan",0
"[V4_DPU2016_HW_DI070507_PV]",BOOL,9#炉辅燃雾化压缩空气压力低,"base,scan",0
"[V4_DPU2016_HW_DI070508_PV]",BOOL,9#炉辅燃燃油压力低,"base,scan",0
"[V4_DPU2016_HW_DI070509_PV]",BOOL,9#炉2#辅燃助燃空气压力低,"base,scan",0
"[V4_DPU2016_HW_DI070510_PV]",BOOL,9#炉2#辅燃风机运行,"base,scan",0
"[V4_DPU2016_HW_DI070511_PV]",BOOL,9#炉2#辅燃风机故障,"base,scan",0
"[V4_DPU2016_HW_DI070512_PV]",BOOL,9#炉2#辅燃冷却风扇故障,"base,scan",0
"[V4_DPU2016_HW_DI070513_PV]",BOOL,9#炉2#辅燃油枪到位,"base,scan",0
"[V4_DPU2016_HW_DI070514_PV]",BOOL,9#炉2#辅燃油枪原位,"base,scan",0
"[V4_DPU2016_HW_DI070515_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2016_HW_DI070516_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2016_HW_DI080401_PV]",BOOL,9#炉2#启燃运行,"base,scan",0
"[V4_DPU2016_HW_DI080402_PV]",BOOL,9#炉2#启燃故障,"base,scan",0
"[V4_DPU2016_HW_DI080403_PV]",BOOL,9#炉2#启燃回油压力高报警,"base,scan",0
"[V4_DPU2016_HW_DI080404_PV]",BOOL,9#炉2#辅燃燃油阀已开,"base,scan",0
"[V4_DPU2016_HW_DI080405_PV]",BOOL,9#炉2#辅燃燃油阀已关,"base,scan",0
"[V4_DPU2016_HW_DI080406_PV]",BOOL,9#炉2#辅燃雾化阀已开,"base,scan",0
"[V4_DPU2016_HW_DI080407_PV]",BOOL,9#炉2#辅燃雾化阀已关,"base,scan",0
"[V4_DPU2016_HW_DI080408_PV]",BOOL,9#炉2#辅燃吹扫阀已开,"base,scan",0
"[V4_DPU2016_HW_DI080409_PV]",BOOL,9#炉2#辅燃吹扫阀已关,"base,scan",0
"[V4_DPU2016_HW_DI080410_PV]",BOOL,9#炉2#辅燃点火枪到位,"base,scan",0
"[V4_DPU2016_HW_DI080411_PV]",BOOL,9#炉2#辅燃点火枪原位,"base,scan",0
"[V4_DPU2016_HW_DI080412_PV]",BOOL,9#炉2#辅燃点火器发火,"base,scan",0
"[V4_DPU2016_HW_DI080413_PV]",BOOL,9#炉2#辅燃火检有火,"base,scan",0
"[V4_DPU2016_HW_DI080414_PV]",BOOL,9#炉2#辅燃远方,"base,scan",0
"[V4_DPU2016_HW_DI080415_PV]",BOOL,9#炉2#辅燃电源正常,"base,scan",0
"[V4_DPU2016_HW_DI080416_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2016_HW_DI090401_PV]",BOOL,9#炉3#启燃运行,"base,scan",0
"[V4_DPU2016_HW_DI090402_PV]",BOOL,9#炉3#启燃故障,"base,scan",0
"[V4_DPU2016_HW_DI090403_PV]",BOOL,9#炉3#启燃回油压力高报警,"base,scan",0
"[V4_DPU2016_HW_DI090404_PV]",BOOL,9#炉沼气掺烧1压力低信号,"base,scan",0
"[V4_DPU2016_HW_DI090405_PV]",BOOL,9#炉沼气掺烧1压力高信号,"base,scan",0
"[V4_DPU2016_HW_DI090406_PV]",BOOL,9#炉沼气掺烧主燃气阀已开,"base,scan",0
"[V4_DPU2016_HW_DI090407_PV]",BOOL,9#炉沼气掺烧主燃气阀已关,"base,scan",0
"[V4_DPU2016_HW_DI090408_PV]",BOOL,9#炉沼气掺烧主吹扫阀已开,"base,scan",0
"[V4_DPU2016_HW_DI090409_PV]",BOOL,9#炉沼气掺烧主吹扫阀已关,"base,scan",0
"[V4_DPU2016_HW_DI090410_PV]",BOOL,9#炉沼气掺烧远控信号,"base,scan",0
"[V4_DPU2016_HW_DI090411_PV]",BOOL,9#炉沼气掺烧A1燃气阀已开,"base,scan",0
"[V4_DPU2016_HW_DI090412_PV]",BOOL,9#炉沼气掺烧A1燃气阀已关,"base,scan",0
"[V4_DPU2016_HW_DI090413_PV]",BOOL,9#炉沼气掺烧A放散阀已开,"base,scan",0
"[V4_DPU2016_HW_DI090414_PV]",BOOL,9#炉沼气掺烧A放散阀已关,"base,scan",0
"[V4_DPU2016_HW_DI090415_PV]",BOOL,9#炉沼气掺烧A2燃气阀已开,"base,scan",0
"[V4_DPU2016_HW_DI090416_PV]",BOOL,9#炉沼气掺烧A2燃气阀已关,"base,scan",0
"[V4_DPU2016_HW_DI100601_PV]",BOOL,9#炉浓液回喷A角废液阀已开,"base,scan",0
"[V4_DPU2016_HW_DI100602_PV]",BOOL,9#炉浓液回喷A角废液阀已关,"base,scan",0
"[V4_DPU2016_HW_DI100603_PV]",BOOL,9#炉浓液回喷A角雾化阀已开,"base,scan",0
"[V4_DPU2016_HW_DI100604_PV]",BOOL,9#炉浓液回喷A角雾化阀已关,"base,scan",0
"[V4_DPU2016_HW_DI100605_PV]",BOOL,9#炉浓液回喷A角吹扫阀已开,"base,scan",0
"[V4_DPU2016_HW_DI100606_PV]",BOOL,9#炉浓液回喷A角吹扫阀已关,"base,scan",0
"[V4_DPU2016_HW_DI100607_PV]",BOOL,9#炉浓液回喷A角喷枪进到位,"base,scan",0
"[V4_DPU2016_HW_DI100608_PV]",BOOL,9#炉浓液回喷A角喷枪退到位,"base,scan",0
"[V4_DPU2016_HW_DI100609_PV]",BOOL,9#炉浓液回喷B角废液阀已开,"base,scan",0
"[V4_DPU2016_HW_DI100610_PV]",BOOL,9#炉浓液回喷B角废液阀已关,"base,scan",0
"[V4_DPU2016_HW_DI100611_PV]",BOOL,9#炉浓液回喷B角雾化阀已开,"base,scan",0
"[V4_DPU2016_HW_DI100612_PV]",BOOL,9#炉浓液回喷B角雾化阀已关,"base,scan",0
"[V4_DPU2016_HW_DI100613_PV]",BOOL,9#炉浓液回喷B角吹扫阀已开,"base,scan",0
"[V4_DPU2016_HW_DI100614_PV]",BOOL,9#炉浓液回喷B角吹扫阀已关,"base,scan",0
"[V4_DPU2016_HW_DI100615_PV]",BOOL,9#炉浓液回喷B角喷枪进到位,"base,scan",0
"[V4_DPU2016_HW_DI100616_PV]",BOOL,9#炉浓液回喷B角喷枪退到位,"base,scan",0
"[V4_DPU2016_HW_DI100701_PV]",BOOL,9#炉沼气掺烧2压力低信号,"base,scan",0
"[V4_DPU2016_HW_DI100702_PV]",BOOL,9#炉沼气掺烧2压力高信号,"base,scan",0
"[V4_DPU2016_HW_DI100703_PV]",BOOL,9#炉沼气掺烧3压力低信号,"base,scan",0
"[V4_DPU2016_HW_DI100704_PV]",BOOL,9#炉沼气掺烧3压力高信号,"base,scan",0
"[V4_DPU2016_HW_DI100705_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2016_HW_DI100706_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2016_HW_DI100707_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2016_HW_DI100708_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2016_HW_DI100709_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2016_HW_DI100710_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2016_HW_DI100711_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2016_HW_DI100712_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2016_HW_DI100713_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2016_HW_DI100714_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2016_HW_DI100715_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2016_HW_DI100716_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2016_HW_DI120401_PV]",BOOL,9#炉SNCR下层,"base,scan",0
"[V4_DPU2016_HW_DI120402_PV]",BOOL,9#炉SNCR下层氨水气动阀已关,"base,scan",0
"[V4_DPU2016_HW_DI120403_PV]",BOOL,9#炉SNCR中层氨水气动阀已开,"base,scan",0
"[V4_DPU2016_HW_DI120404_PV]",BOOL,9#炉SNCR中层氨水气动阀已关,"base,scan",0
"[V4_DPU2016_HW_DI120405_PV]",BOOL,9#炉SNCR上层氨水气动阀已开,"base,scan",0
"[V4_DPU2016_HW_DI120406_PV]",BOOL,9#炉SNCR上层氨水气动阀已关,"base,scan",0
"[V4_DPU2016_HW_DI120407_PV]",BOOL,9#炉沼气掺烧A火焰信号,"base,scan",0
"[V4_DPU2016_HW_DI120408_PV]",BOOL,9#炉沼气掺烧B1燃气阀已开,"base,scan",0
"[V4_DPU2016_HW_DI120409_PV]",BOOL,9#炉沼气掺烧B1燃气阀已关,"base,scan",0
"[V4_DPU2016_HW_DI120410_PV]",BOOL,9#炉沼气掺烧B放散阀已开,"base,scan",0
"[V4_DPU2016_HW_DI120411_PV]",BOOL,9#炉沼气掺烧B放散阀已关,"base,scan",0
"[V4_DPU2016_HW_DI120412_PV]",BOOL,9#炉沼气掺烧B2燃气阀已开,"base,scan",0
"[V4_DPU2016_HW_DI120413_PV]",BOOL,9#炉沼气掺烧B2燃气阀已关,"base,scan",0
"[V4_DPU2016_HW_DI120414_PV]",BOOL,9#炉沼气掺烧B火焰信号,"base,scan",0
"[V4_DPU2016_HW_DI120415_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2016_HW_DI120416_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2016_HW_RT050101_PV]",FLOAT64,9#炉一次风机前轴承温度,"base,scan",0
"[V4_DPU2016_HW_RT050102_PV]",FLOAT64,9#炉一次风机电机前轴承温度,"base,scan",0
"[V4_DPU2016_HW_RT050103_PV]",FLOAT64,9#炉一次风机电机线圈温度A,"base,scan",0
"[V4_DPU2016_HW_RT050104_PV]",FLOAT64,9#炉一次风机入口风温,"base,scan",0
"[V4_DPU2016_HW_RT050105_PV]",FLOAT64,9#炉二次风机前轴承温度,"base,scan",0
"[V4_DPU2016_HW_RT050106_PV]",FLOAT64,9#炉二次风机电机前轴承温度,"base,scan",0
"[V4_DPU2016_HW_RT050107_PV]",FLOAT64,9#炉二次风机电机线圈温度A,"base,scan",0
"[V4_DPU2016_HW_RT050108_PV]",FLOAT64,9#炉二次风机入口风温测量,"base,scan",0
"[V4_DPU2016_HW_RT050201_PV]",FLOAT64,9#炉一次风机后轴承温度,"base,scan",0
"[V4_DPU2016_HW_RT050202_PV]",FLOAT64,9#炉一次风机电机后轴承温度,"base,scan",0
"[V4_DPU2016_HW_RT050203_PV]",FLOAT64,9#炉一次风机电机线圈温度B,"base,scan",0
"[V4_DPU2016_HW_RT050204_PV]",FLOAT64,9#炉一次风机电机线圈温度C,"base,scan",0
"[V4_DPU2016_HW_RT050205_PV]",FLOAT64,9#炉二次风机后轴承温度,"base,scan",0
"[V4_DPU2016_HW_RT050206_PV]",FLOAT64,9#炉二次风机电机后轴承温度,"base,scan",0
"[V4_DPU2016_HW_RT050207_PV]",FLOAT64,9#炉二次风机电机线圈温度B,"base,scan",0
"[V4_DPU2016_HW_RT050208_PV]",FLOAT64,9#炉二次风机电机线圈温度C,"base,scan",0
"[V4_DPU2016_HW_RT050301_PV]",FLOAT64,9#炉引风机前轴承温度,"base,scan",0
"[V4_DPU2016_HW_RT050302_PV]",FLOAT64,9#炉引风机电机前轴承温度,"base,scan",0
"[V4_DPU2016_HW_RT050303_PV]",FLOAT64,9#炉引风机电机线圈温度A,"base,scan",0
"[V4_DPU2016_HW_RT050304_PV]",FLOAT64,9#炉引风机入口烟气温度,"base,scan",0
"[V4_DPU2016_HW_RT050305_PV]",FLOAT64,9#炉烟气再循环风机前轴承温度,"base,scan",0
"[V4_DPU2016_HW_RT050306_PV]",FLOAT64,9#炉烟气再循环风机电机前轴承温度,"base,scan",0
"[V4_DPU2016_HW_RT050307_PV]",FLOAT64,9#炉烟气再循环风机电机线圈温度A,"base,scan",0
"[V4_DPU2016_HW_RT050308_PV]",FLOAT64,9#炉BL3机柜温度,"base,scan",0
"[V4_DPU2016_HW_RT050401_PV]",FLOAT64,9#炉引风机后轴承温度,"base,scan",0
"[V4_DPU2016_HW_RT050402_PV]",FLOAT64,9#炉引风机电机后轴承温度,"base,scan",0
"[V4_DPU2016_HW_RT050403_PV]",FLOAT64,9#炉引风机电机线圈温度B,"base,scan",0
"[V4_DPU2016_HW_RT050404_PV]",FLOAT64,9#炉引风机电机线圈温度C,"base,scan",0
"[V4_DPU2016_HW_RT050405_PV]",FLOAT64,9#炉烟气再循环风机后轴承温度,"base,scan",0
"[V4_DPU2016_HW_RT050406_PV]",FLOAT64,9#炉烟气再循环风机电机后轴承温度,"base,scan",0
"[V4_DPU2016_HW_RT050407_PV]",FLOAT64,9#炉烟气再循环风机电机线圈温度B,"base,scan",0
"[V4_DPU2016_HW_RT050408_PV]",FLOAT64,9#炉烟气再循环风机电机线圈温度C,"base,scan",0
"[V4_DPU2016_HW_RT050501_PV]",FLOAT64,9#炉空加入口风温,"base,scan",0
"[V4_DPU2016_HW_RT050502_PV]",FLOAT64,9#炉空加出口风温,"base,scan",0
"[V4_DPU2016_HW_RT050503_PV]",FLOAT64,9#炉二次风机出口风温,"base,scan",0
"[V4_DPU2016_HW_RT050504_PV]",FLOAT64,9#炉空预器后风温,"base,scan",0
"[V4_DPU2016_HW_RT050505_PV]",FLOAT64,9#炉烟气再循环风机出口风温,"base,scan",0
"[V4_DPU2016_HW_RT050506_PV]",FLOAT64,备用RT-KM232A,"base,scan",0
"[V4_DPU2016_HW_RT050507_PV]",FLOAT64,备用RT-KM232A,"base,scan",0
"[V4_DPU2016_HW_RT050508_PV]",FLOAT64,备用RT-KM232A,"base,scan",0
"[V4_DPU2016_HW_RT120301_PV]",FLOAT64,9#炉空加空气进口温度1,"base,scan",0
"[V4_DPU2016_HW_RT120302_PV]",FLOAT64,9#炉空加空气进口温度2,"base,scan",0
"[V4_DPU2016_HW_RT120303_PV]",FLOAT64,9#炉空加空气出口温度1,"base,scan",0
"[V4_DPU2016_HW_RT120304_PV]",FLOAT64,9#炉空加空气出口温度2,"base,scan",0
"[V4_DPU2016_HW_RT120305_PV]",FLOAT64,9#炉空加进水温度,"base,scan",0
"[V4_DPU2016_HW_RT120306_PV]",FLOAT64,9#炉空加出水温度,"base,scan",0
"[V4_DPU2016_HW_RT120307_PV]",FLOAT64,9#炉沼气母管温度,"base,scan",0
"[V4_DPU2016_HW_RT120308_PV]",FLOAT64,9#炉BL4机柜温度,"base,scan",0
"[V4_DPU2016_HW_TC050601_PV]",FLOAT64,9#炉空预器高压蒸汽温度,"base,scan",0
"[V4_DPU2016_HW_TC050602_PV]",FLOAT64,9#炉空预器高压疏水温度,"base,scan",0
"[V4_DPU2016_HW_TC050603_PV]",FLOAT64,9#炉空预器低压蒸汽温度,"base,scan",0
"[V4_DPU2016_HW_TC050604_PV]",FLOAT64,9#炉空预器低压疏水温度,"base,scan",0
"[V4_DPU2016_HW_TC050605_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2016_HW_TC050606_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2016_HW_TC050607_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2016_HW_TC050608_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2016_HW_TC080501_PV]",FLOAT64,9#炉炉膛上部左侧温度,"base,scan",0
"[V4_DPU2016_HW_TC080502_PV]",FLOAT64,9#炉炉膛上部右侧温度,"base,scan",0
"[V4_DPU2016_HW_TC080503_PV]",FLOAT64,9#炉炉膛上部前侧温度,"base,scan",0
"[V4_DPU2016_HW_TC080504_PV]",FLOAT64,9#炉省煤器2进口右侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC080505_PV]",FLOAT64,9#炉省煤器3进口右侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC080506_PV]",FLOAT64,9#炉省煤器4进口右侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC080507_PV]",FLOAT64,9#炉省煤器出口右侧排烟温度,"base,scan",0
"[V4_DPU2016_HW_TC080508_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2016_HW_TC090501_PV]",FLOAT64,9#炉省煤器2进口左侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC090502_PV]",FLOAT64,9#炉省煤器3进口左侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC090503_PV]",FLOAT64,9#炉省煤器4进口左侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC090504_PV]",FLOAT64,9#炉省煤器出口左侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC090505_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2016_HW_TC090506_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2016_HW_TC090507_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2016_HW_TC090508_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2016_HW_TC100401_PV]",FLOAT64,9#炉炉膛下部左侧温度,"base,scan",0
"[V4_DPU2016_HW_TC100402_PV]",FLOAT64,9#炉炉膛下部右侧温度,"base,scan",0
"[V4_DPU2016_HW_TC100403_PV]",FLOAT64,9#炉炉膛下部前侧温度,"base,scan",0
"[V4_DPU2016_HW_TC100404_PV]",FLOAT64,9#炉二次风左侧出口烟气温度T40,"base,scan",0
"[V4_DPU2016_HW_TC100405_PV]",FLOAT64,9#炉炉膛出口左侧温度1,"base,scan",0
"[V4_DPU2016_HW_TC100406_PV]",FLOAT64,9#炉炉膛出口左侧温度2,"base,scan",0
"[V4_DPU2016_HW_TC100407_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2016_HW_TC100408_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2016_HW_TC100501_PV]",FLOAT64,9#炉炉膛中部左侧温度,"base,scan",0
"[V4_DPU2016_HW_TC100502_PV]",FLOAT64,9#炉炉膛中部右侧温度,"base,scan",0
"[V4_DPU2016_HW_TC100503_PV]",FLOAT64,9#炉炉膛中部前侧温度,"base,scan",0
"[V4_DPU2016_HW_TC100504_PV]",FLOAT64,9#炉二次风右侧出口烟气温度T42,"base,scan",0
"[V4_DPU2016_HW_TC100505_PV]",FLOAT64,9#炉炉膛出口右侧温度1,"base,scan",0
"[V4_DPU2016_HW_TC100506_PV]",FLOAT64,9#炉炉膛出口右侧温度2,"base,scan",0
"[V4_DPU2016_HW_TC100507_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2016_HW_TC100508_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2016_HW_TC110401_PV]",FLOAT64,9#炉第二烟道出口左侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC110402_PV]",FLOAT64,9#炉高温蒸发器进口左侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC110403_PV]",FLOAT64,9#炉高过进口左侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC110404_PV]",FLOAT64,9#炉屏过进口左侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC110405_PV]",FLOAT64,9#炉低过进口左侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC110406_PV]",FLOAT64,9#炉低温蒸发器进口左侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC110407_PV]",FLOAT64,9#炉省煤器1进口左侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC110408_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2016_HW_TC110501_PV]",FLOAT64,9#炉第二烟道出口右侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC110502_PV]",FLOAT64,9#炉高温蒸发器进口右侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC110503_PV]",FLOAT64,9#炉高过进口右侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC110504_PV]",FLOAT64,9#炉屏过进口右侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC110505_PV]",FLOAT64,9#炉低过进口右侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC110506_PV]",FLOAT64,9#炉低温蒸发器进口右侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC110507_PV]",FLOAT64,9#炉省煤器1进口右侧烟温,"base,scan",0
"[V4_DPU2016_HW_TC110508_PV]",FLOAT64,备用TC-KM233A,"base,scan",0
"[V4_DPU2016_SH0130_AALM1_PV]",FLOAT64,9#炉一次风母管流量,"base,scan",0
"[V4_DPU2016_SH0130_AALM2_PV]",FLOAT64,9#炉二次风母管流量,"base,scan",0
"[V4_DPU2016_SH0130_AALM3_PV]",FLOAT64,9#炉烟气再循环流量,"base,scan",0
"[V4_DPU2016_SH0131_AALM1_PV]",FLOAT64,8#炉燃油流量累计,"base,scan",0
"[V4_DPU2016_SH0132_AALM1_PV]",FLOAT64,9#炉一次风空预器低压蒸汽流量,"base,scan",0
"[V4_DPU2016_SH0132_AALM2_PV]",FLOAT64,9#炉一次风空预器高压蒸汽流量,"base,scan",0
"[V4_DPU2016_SH0132_AALM3_PV]",FLOAT64,9#炉一次风空预器低压蒸汽流量累计,"base,scan",0
"[V4_DPU2016_SH0132_AALM4_PV]",FLOAT64,9#炉一次风空预器高压蒸汽流量累计,"base,scan",0
"[V4_DPU2016_SH0141_AALM1_PV]",FLOAT64,9#炉SNCR氨水流量累计,"base,scan",0
"[V4_DPU2016_SH0142_AALM1_PV]",FLOAT32,9#炉沼气流量累计,"base,scan",0
"[V4_DPU2016_SH0143_AALM1_PV]",FLOAT32,9#炉浓水入炉流量累计,"base,scan",0
"[V4_DPU2016_SH0221_AALM1_PV]",FLOAT64,9#炉锅炉出口SO2折算值,"base,scan",0
"[V4_DPU2016_SH0221_AALM2_PV]",FLOAT64,9#炉锅炉出口NOx折算值,"base,scan",0
"[V4_DPU2016_SH0221_AALM3_PV]",FLOAT64,9#炉锅炉出口CO折算值,"base,scan",0
"[V4_DPU2016_SH0222_AALM1_PV]",FLOAT64,9#炉除尘器出口SO2折算值,"base,scan",0
"[V4_DPU2016_SH0222_AALM2_PV]",FLOAT64,9#炉除尘器出口NOx折算值,"base,scan",0
"[V4_DPU2016_SH0222_AALM3_PV]",FLOAT64,9#炉除尘器出口DUST折算值,"base,scan",0
"[V4_DPU2016_SH0301_AALM1_PV]",FLOAT64,9#炉炉膛上部左侧温度T10,"base,scan",0
"[V4_DPU2016_SH0301_AALM2_PV]",FLOAT64,9#炉炉膛上部中侧温度T11,"base,scan",0
"[V4_DPU2016_SH0301_AALM3_PV]",FLOAT64,9#炉炉膛上部右侧温度T12,"base,scan",0
"[V4_DPU2016_SH0301_AALM4_PV]",FLOAT64,炉膛上部温度中间值,"base,scan",0
"[V4_DPU2016_SH0302_AALM1_PV]",FLOAT64,9#炉炉膛中部左侧温度T20,"base,scan",0
"[V4_DPU2016_SH0302_AALM2_PV]",FLOAT64,9#炉炉膛中部中侧温度T21,"base,scan",0
"[V4_DPU2016_SH0302_AALM3_PV]",FLOAT64,9#炉炉膛中部右侧温度T22,"base,scan",0
"[V4_DPU2016_SH0302_AALM4_PV]",FLOAT64,炉膛中部温度中间值,"base,scan",0
"[V4_DPU2016_SH0303_AALM1_PV]",FLOAT64,9#炉炉膛下部左侧温度T30,"base,scan",0
"[V4_DPU2016_SH0303_AALM2_PV]",FLOAT64,9#炉炉膛下部中侧温度T31,"base,scan",0
"[V4_DPU2016_SH0303_AALM3_PV]",FLOAT64,9#炉炉膛下部右侧温度T32,"base,scan",0
"[V4_DPU2016_SH0303_AALM4_PV]",FLOAT64,炉膛下部温度中间值,"base,scan",0
"[V4_DPU2016_SH0304_AALM1_PV]",FLOAT64,9#炉3×3炉膛平均温度901,"base,scan",0
"[V4_DPU2016_SH0304_AALM2_PV]",FLOAT64,9#炉5分钟时间段3×3炉膛平均温度,"base,scan",0
"[V4_DPU2016_SH0304_AALM3_PV]",FLOAT64,9#炉前5分钟时间段炉膛平均温度,"base,scan",0
"[V4_DPU2016_SH0304_AALM4_PV]",FLOAT64,9#炉炉膛平均温度低天累计次数,"base,scan",0
"[V4_DPU2016_SH0309_AALM1_PV]",FLOAT64,9#炉炉膛850℃/2S温度902,"base,scan",0
"[V4_DPU2016_SH0311_AALM1_PV]",FLOAT32,9#炉2×3炉膛平均温度,"base,scan",0
"[V4_DPU2016_SH0311_AALM2_PV]",FLOAT32,9#炉5分钟时间段2×3炉膛平均温度,"base,scan",0
"[V4_DPU2016_SH0311_AALM3_PV]",FLOAT32,9#炉前5分钟时间段炉膛平均温度,"base,scan",0
"[V4_DPU2016_SH0311_AALM4_PV]",FLOAT32,8#炉炉膛平均温度低天累计次数,"base,scan",0
"[V4_DPU2017_HW_AI010201_PV]",FLOAT64,9#炉干燥炉排左入口风门开度,"base,scan",0
"[V4_DPU2017_HW_AI010202_PV]",FLOAT64,9#炉干燥炉排左入口风量,"base,scan",0
"[V4_DPU2017_HW_AI010203_PV]",FLOAT64,9#炉燃烧炉排一段左入口风门开度,"base,scan",0
"[V4_DPU2017_HW_AI010204_PV]",FLOAT64,9#炉燃烧炉排一段左入口风量,"base,scan",0
"[V4_DPU2017_HW_AI010205_PV]",FLOAT64,9#炉燃烧炉排二段左入口风门开度,"base,scan",0
